distance_parsecs,ra,dec,galactic_longitude,galactic_latitude,pseudocolour,phot_g_mean_mag,cart_x,cart_y,cart_z,xo_as_origin_x,xo_as_origin_y,xo_as_origin_z,xo_as_origin_latitude,xo_as_origin_longitude,xo_as_origin_distance
6260.062,269.0998702477952,-28.423422751387903,1.650043175784716,-1.769331576767579,--,16.326801,6254.48291015625,-193.20399475097656,180.2566375732422,-41.602618724878994,24.60718017381882,223.44581551763517,12.206001813397776,149.39646968034782,228.61391837159758
6260.176,270.0881692262336,-28.927784997813117,1.6449840511508074,-2.772415834806491,1.2768745,15.781387,6250.271484375,-302.6730651855469,179.70738220214844,-45.814044506128994,-84.8618902607515,222.89656014654142,23.396313762530372,-118.36309919963236,242.86486698943952
6260.193,269.3315192828488,-31.14501968588759,359.39215251425424,-3.3054712444679613,--,13.675982,6249.42626953125,-360.93841552734375,-66.41276550292969,-46.659259349878994,-143.12724060254837,-23.223587558536707,98.7697642650685,-108.05588843442058,152.32146435964978
6260.406,269.664202817054,-29.29266002016554,1.1438386843109296,-2.631879817816477,--,15.317988,6252.5556640625,-287.4131164550781,124.9728775024414,-43.529864818628994,-69.60194153028274,168.1620554468344,26.020639420423624,-122.02234048711438,187.13031899726246
6260.444,268.706148870222,-29.212724050845974,0.7939434917556795,-1.868441115846738,1.186301,15.277203,6256.5146484375,-204.10009765625,86.74774169921875,-39.570880443628994,13.711077268545381,129.93691964361173,17.864251737893934,160.8890998669039,136.51905107133734
6260.5674,269.1046212256444,-29.597006581363917,0.6362885813668521,-2.361752173234382,--,15.0117445,6254.86376953125,-257.97381591796875,69.52424621582031,-41.221759349878994,-40.16264099317337,112.7134241602133,27.049203205822977,-135.74559235198768,126.55665593466833
6260.5776,268.15246205244574,-30.524394877807666,359.41885894050665,-2.118297732502932,--,15.4489355,6255.9775390625,-231.39686584472656,-63.49885559082031,-40.107989818628994,-13.585690919931181,-20.309677646427332,115.62272834249848,-161.2873309459594,46.96493214266297
6260.6807,267.3349864116756,-30.958032159486702,358.6867410762534,-1.7358011568184186,--,16.738926,6256.1640625,-189.59127807617188,-143.48655700683594,-39.921466381128994,28.219896848623506,-100.29737906244296,154.01375093154675,144.74407201106106,111.57800098120568
6260.7803,268.1027754014172,-30.1869541239199,359.6878635294751,-1.909897878274388,--,15.193643,6257.20947265625,-208.6551513671875,-34.10736846923828,-38.876056224878994,9.156023557607881,9.0818094751547,77.18945593082763,166.74730857556852,40.95924533399551
6260.798,267.3291248948765,-29.697970087877486,359.76531619451197,-1.0837471112726715,0.8424073,18.988468,6259.625,-118.41465759277344,-25.644187927246094,-36.460528881128994,99.39651733202194,17.544990017146887,80.59058689771174,110.14399561053777,107.31665527180934
6260.8457,268.0418397378689,-31.892775706471017,358.190991466399,-2.731871119302505,--,16.20972,6250.61328125,-298.2562255859375,-197.6417999267578,-45.472247631128994,-80.44505066114212,-154.45262198236483,149.1083492369166,-119.47767348698133,179.98539917928824
6260.959,268.47405914919136,-32.20546348504551,358.1066685245972,-3.206098020781883,1.4161409,16.227942,6247.7470703125,-349.9703063964844,-206.85491943359375,-48.338458568628994,-132.159131471689,-163.66574148920077,139.31064260590622,-110.09047329338225,215.84512397863458
6261.038,267.3999540824244,-29.64104816811617,359.8457908046876,-1.1072814630074597,--,17.440266,6259.845703125,-120.99101257324219,-16.851301193237305,-36.239825756128994,96.8201623515532,26.337876751155676,75.70697870981847,110.5208950254816,106.68248478721695
6261.124,267.1433485865638,-30.801047307819754,358.73674129270347,-1.5139960534568206,--,17.023407,6257.4169921875,-165.38583374023438,-138.0342254638672,-38.668536693628994,52.425341184561006,-94.8450475194742,145.5171217142799,126.41220592038488,115.06196229560611
6261.2993,269.5200312312983,-30.79157451172718,359.7797782695137,-3.269537985887973,1.3296621,17.033134,6251.06103515625,-357.0995178222656,-24.065834045410156,-45.024493724878994,-139.28834289747024,19.123343898982824,82.55716125799482,-107.91325389913193,147.62841794242627
