distance_parsecs,ra,dec,galactic_longitude,galactic_latitude,pseudocolour,phot_g_mean_mag,cart_x,cart_y,cart_z,xo_as_origin_x,xo_as_origin_y,xo_as_origin_z,xo_as_origin_latitude,xo_as_origin_longitude,xo_as_origin_distance
1590.731,292.247376876655,41.862844678017595,74.39941327017567,11.31390395274624,--,18.188263,419.4814758300781,83.92652893066406,1532.1280517578125,37.05564918970077,-5.862116469596771,-12.400412297029789,108.29039873807801,-8.98955907695735,39.51272923387622
1584.5471,292.29305750251456,41.88632201804974,74.4362965220971,11.29390294290044,--,15.176387,416.91644287109375,83.2619857788086,1526.446044921875,34.4906162307164,-6.526659621452239,-18.08241913296729,117.2543061081992,-10.71538099255908,39.486374554891135
1593.7012,292.3353926420209,41.89983682030393,74.46295487323209,11.271714765747307,--,16.265844,418.6567687988281,83.44097137451172,1535.4632568359375,36.23094215845077,-6.347674025749114,-9.065207218904789,103.8447765400443,-9.937383660275655,37.88340160476431
1571.417,292.29315263874986,41.90549171528293,74.45383052821458,11.302378866553084,--,16.987726,412.99517822265625,82.54241180419922,1513.9263916015625,30.569351582278898,-7.246233596061614,-30.60207245327979,134.24768347950663,-13.33539927580395,43.85749646212669
1606.3347,292.3060499004999,41.93396865373806,74.4841899050691,11.306472138968266,--,16.825026,421.3619689941406,84.24593353271484,1547.79443359375,38.93614235376327,-5.542711867545989,3.2659695389077115,85.25288144264437,-8.101843567536905,39.46405191143234
1558.435,292.29148395392383,41.9360685148468,74.4811853709058,11.317108910982633,--,16.706224,408.85931396484375,81.82511901855469,1501.61865234375,26.433487324466398,-7.963526381706146,-42.90981171109229,147.24386904772052,-16.765798814195332,51.02351365445395
1619.3912,292.25797303282377,41.90064556193362,74.4375155408458,11.323665393838327,--,17.00334,426.0075988769531,85.3077163696289,1560.0218505859375,43.58177223657577,-4.480929030631927,15.493386531095211,70.52450875976862,-5.8703288583167135,46.47036283977401
1608.4481,292.26321986277554,41.91109777602034,74.44883368906937,11.324821218972684,--,17.043076,422.82696533203125,84.67967224121094,1549.5650634765625,40.4011386916539,-5.108973159049896,5.0365994217202115,82.94947281604178,-7.20715024791401,41.03316887661759
1632.95,292.2785685627772,41.91202199713279,74.45486378778186,11.315004982459469,--,17.296078,429.120361328125,85.86358642578125,1573.216064453125,46.69453468774765,-3.925058974479583,28.68760039828271,58.52468366834641,-4.804885118614454,54.94328051973199
1566.7526,292.2747129036251,41.9423700564714,74.4812750564572,11.331085059491025,--,16.611963,411.0190734863281,82.36163330078125,1509.633544921875,28.593246845950773,-7.427012099479583,-34.89491913296729,139.7487119186562,-14.56064117461472,45.72077924987299
1585.9666,292.27219465234947,41.97963339401585,74.51445817401763,11.349347546779565,--,18.04189,415.1651611328125,83.3301010131836,1528.392578125,32.73933449243515,-6.458544387077239,-16.13588592984229,115.80564091508346,-11.159546512851545,37.06674565359472
1566.0328,292.23501311904005,41.95139130476726,74.47611481714722,11.361542361206425,--,18.624525,410.91961669921875,82.56893920898438,1508.90234375,28.493790058841398,-7.219706191276458,-35.62612030484229,140.47481210865172,-14.218270892552006,46.18701849416977
1613.7186,292.22509609122454,41.95517494987945,74.47622613212152,11.369830761348371,--,16.09077,423.4169006347656,85.14383697509766,1554.849365234375,40.99107399438827,-4.644808425163177,10.320901179532711,75.9538837858528,-6.464763719308623,42.52485618644184
1570.0072,292.01514933137764,41.887636801857305,74.34375586242406,11.479849757107342,--,17.616373,415.2142639160156,84.32423400878906,1511.7569580078125,32.78843727563827,-5.464411391471771,-32.77150604702979,134.5928018474726,-9.46176427545215,46.678828385299276
1589.4993,291.8629884214444,41.86281914889348,74.26990762346321,11.570495924579724,--,16.994593,422.1659240722656,86.43169403076172,1529.9716796875,39.74009743188827,-3.3569513694991144,-14.556784367342289,110.0520684112339,-4.828463434639795,42.45520506970206
1554.9056,291.9654011851409,41.87377451970168,74.31434014507464,11.506926361420506,--,17.957125,411.93402099609375,83.86078643798828,1497.0001220703125,29.508194355716398,-5.927858962272552,-47.52834198452979,147.65561816667503,-11.358877272370282,56.25670038146341
1593.4816,291.9294525292975,41.864672133238116,74.29392546410996,11.526909719700544,--,18.482899,422.65936279296875,86.19776153564453,1533.98583984375,40.2335361525914,-3.590883864616302,-10.542624211092289,104.62777837179969,-5.1001927429072715,41.746602299197356
1622.2323,291.95839609451144,41.879968411698385,74.31765409060685,11.514344214907295,--,18.535007,429.6707458496094,87.52953338623047,1561.8447265625,47.24491920923202,-2.2591120140303644,17.31626250765771,69.89217735845588,-2.7376291347612085,50.36902744160254
1632.1505,291.9851005433822,41.89332540443784,74.33885515110359,11.502425590578131,--,17.17429,431.7462158203125,87.85879516601562,1571.556884765625,49.32038917993515,-1.9298502342452082,27.02842071078271,61.294969111599144,-2.240774980600943,56.27397832840636
1566.2615,291.9573600647747,41.88820609838149,74.32484562906582,11.518679845685595,--,14.926068,414.65423583984375,84.5031509399414,1508.0107421875,32.2284091994664,-5.285494460319427,-36.51772186734229,138.19273301502304,-9.313660111413558,48.99133414797853
1578.6516,291.9650463776554,41.92243350214909,74.3587566894008,11.52868852751807,--,15.976268,417.03802490234375,85.0648193359375,1520.192138671875,34.6121982619664,-4.723826064323333,-24.33632538296729,124.86322759837657,-7.7716353686955175,42.57435301161144
1604.5729,291.96394307395553,41.92966489047876,74.3650053968997,11.532623069995196,--,16.884743,423.71466064453125,86.45699310302734,1545.20068359375,41.2888340041539,-3.3316522972334894,0.6722195389077115,89.07027664224883,-4.61327937349688,41.42848777786519
